Product names: ,Ratings: ,Prices: 
Kindle - Now with a Built-in Front Light - Black - Ad-Supported,4.6 out of 5 stars,49
Kindle Paperwhite – (previous generation - 2018 release) Waterproof with more than 2x the Storage – Ad-Supported,4.6 out of 5 stars,84
"All-new Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Ad-Supported",4.2 out of 5 stars,139
"Kindle Paperwhite – (previous generation - 2018 release) Waterproof with 2x the Storage – Ad-Supported,Kindle Oasis – Now with adjustable warm light – Ad-Supported,Kindle Oasis – Now with adjustable warm light – Wi-Fi + Free Cellular Connectivity, 32 GB, Graphite,Kindle Paperwhite – (previous generation - 2018 release) Waterproof with more than 2x the Storage, 32 GB, Wi-Fi + Free Cellular Connectivity,Kindle Paperwhite – (previous generation - 2018 release) Now Waterproof with 2x the Storage - 8 GB (International Version),All-new Kindle Oasis - Now with adjustable warm light - 8 GB, Graphite (International Version),All-new Kindle Oasis - Now with adjustable warm light - 32 GB, Graphite - Free 4G LTE + Wi-Fi (International Version - Vodafone),All-new Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Ad-Supported","4.6 out of 5 stars,4.6 out of 5 stars,4.5 out of 5 stars,4.5 out of 5 stars,4.6 out of 5 stars,4.4 out of 5 stars,4.6 out of 5 stars,4.2 out of 5 stars","89,249,349,149,109,269,349,139"
Kindle Paperwhite – (previous generation - 2018 release) Waterproof with 2x the Storage – Ad-Supported,4.6 out of 5 stars,89
Kindle Oasis – Now with adjustable warm light – Ad-Supported,4.6 out of 5 stars,249
"Kindle Oasis – Now with adjustable warm light – Wi-Fi + Free Cellular Connectivity, 32 GB, Graphite",4.5 out of 5 stars,349
"Kindle Paperwhite – (previous generation - 2018 release) Waterproof with more than 2x the Storage, 32 GB, Wi-Fi + Free Cellular Connectivity",4.5 out of 5 stars,149
Kindle Paperwhite – (previous generation - 2018 release) Now Waterproof with 2x the Storage - 8 GB (International Version),4.6 out of 5 stars,109
"All-new Kindle Oasis - Now with adjustable warm light - 8 GB, Graphite (International Version)",4.4 out of 5 stars,269
"All-new Kindle Oasis - Now with adjustable warm light - 32 GB, Graphite - Free 4G LTE + Wi-Fi (International Version - Vodafone)",4.6 out of 5 stars,349
"All-new Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Ad-Supported",4.2 out of 5 stars,139
"All-new Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Ad-Supported,Kindle Paperwhite – (previous generation - 2018 release) Waterproof with 2x the Storage – Ad-Supported,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,Kindle Paperwhite – (previous generation - 2018 release) Now Waterproof with 2x the Storage - 8 GB (International Version),Kindle Paperwhite – (previous generation - 2018 release) Waterproof with more than 2x the Storage, 32 GB, Wi-Fi + Free Cellular Connectivity","4.2 out of 5 stars,4.6 out of 5 stars,4.6 out of 5 stars,4.6 out of 5 stars,4.5 out of 5 stars","139,89,49,109,149"
Kindle Oasis – Now with adjustable warm light,4.6 out of 5 stars,299
"Introducing Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Ads",4.3 out of 5 stars,189
"Kindle Kids, a Kindle designed for kids, with parental controls - Rainbow Birds Cover",4.6 out of 5 stars,59
Certified Refurbished Kindle - Now with a Built-in Front Light - Black - Ad-Supported,4.5 out of 5 stars,44
"Introducing Kindle Paperwhite Kids – Includes access to thousands of books, a kid-friendly cover, and a 2-year worry-free guarantee",4.1 out of 5 stars,159
"Kindle Paperwhite – (previous generation - 2018 release) Waterproof with more than 2x the Storage, 32 GB, Wi-Fi + Free Cellular Connectivity",4.5 out of 5 stars,149
"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition - Wifi, Without Ads, Amazon Leather Cover, and Wireless charging dock",,239
"Kindle Oasis – Now with adjustable warm light – Wi-Fi + Free Cellular Connectivity, 32 GB, Graphite",4.5 out of 5 stars,349
Certified Refurbished Kindle Paperwhite – (previous generation - 2018 release) Waterproof with 2x the Storage – Ad-Supported,4.6 out of 5 stars,109
"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition - Wifi, Without Ads, Amazon Cork Cover, and Wireless charging dock",,249
"Kindle Oasis Water-Safe Fabric Cover, Charcoal Black",4.6 out of 5 stars,39
Kindle Paperwhite – (previous generation - 2018 release) Now Waterproof with 2x the Storage - 8 GB (International Version),4.6 out of 5 stars,109
"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition - Wifi, Without Ads, Amazon Fabric Cover, and Wireless charging dock",,229
,,
,,
,,
